t,y_obs
81650,0.211264859
81750,0.486330518
81850,0.585445644
81950,0.289934949
82050,0.617832502
82150,0.224114629
82250,0.326881245
82350,0.039462994
82450,0.249023606
82550,0.181386775
82650,-0.371602086
82750,-0.12853546
82850,-0.010761666
82950,-0.162686197
83050,-0.032500281
83150,-0.451396685
83250,-0.280305356
83350,0.111285108
83450,-0.02084913
83550,-0.186512169
83650,0.063458421
83750,-0.001629607
83850,0.161449822
83950,0.368679738
84050,0.328113756
84150,0.303395852
84250,0.108161053
84350,0.345628448
84450,0.485767443
84550,0.182733841
84650,0.517901856
84750,-0.099131575
84850,0.09559414
84950,0.331766187
85050,0.240908655
85150,0.215394072
85250,0.091268441
85350,0.313291302
85450,-0.160289346
85550,0.061335654
85650,-0.055080018
85750,0.280479644
85850,0.041182205
85950,-0.427355903
86050,-0.123144072
86150,0.206987309
86250,0.318820822
86350,0.227662514
86450,-0.029399163
86550,0.222966317
86650,0.165151896
86750,-0.297743789
86850,-0.06944083
86950,-0.075861438
87050,0.225454447
87150,0.103953367
87250,0.148820594
87350,-0.18440844
87450,0.020717327
87550,-0.002464091
87650,0.286917442
87750,-0.267109703
87850,-0.936647521
87950,-0.736362493
88050,-0.71715452
88150,-0.688179066
88250,-0.33829402
88350,-0.439526552
88450,-0.737471145
88550,-0.168042164
88650,0.016265028
88750,-0.445955886
88850,-0.025225004
88950,0.434887946
89050,0.117692066
89150,-0.264130155
89250,-0.468462729
89350,0.261070622
89450,-0.101299906
89550,0.146171895
89650,0.198418015
89750,0.127320413
89850,0.568220167
89950,0.424823148
90050,0.582200363
90150,0.292839432
90250,0.191087656
90350,0.189444716
90450,0.323114604
90550,-0.054247463
90650,0.269664069
90750,0.063486235
90850,0.013129146
90950,-0.729495669
91050,-0.135086524
91150,0.059243629
91250,-0.111414847
91350,-0.091805468
91450,-0.106331199
91550,-0.296193937
91650,-0.145844012
91750,-0.478498207
91850,0.021002829
91950,-0.221228438
92050,0.191236801
92150,-0.300588911
92250,-0.112496249
92350,-0.43165242
92450,-0.556267923
92550,-0.323035955
92650,-0.158237912
92750,-0.330975111
92850,-0.530126613
92950,-0.157885884
93050,-0.57371542
93150,-0.563236097
93250,0.255293807
93350,0.19182844
93450,-0.012311609
93550,0.374855257
93650,0.32947798
93750,0.757215747
93850,0.377044577
93950,1.085375843
94050,0.659595064
94150,0.268675823
94250,0.425122055
94350,0.703402703
94450,0.669945271
94550,0.719032544
94650,0.497032762
94750,0.193734711
94850,0.006498332
94950,0.159646136
95050,-0.00559204
95150,-0.140282082
95250,0.291499841
95350,0.152314872
95450,0.127972333
95550,-0.411133883
95650,-0.324674631
95750,-0.120407669
95850,-0.200605703
95950,0.385195329
96050,-0.412265873
96150,-0.094543871
96250,-0.07983187
96350,-0.256090778
96450,-0.132683452
96550,0.413344188
96650,-0.033777529
96750,-0.172174603
96850,-0.248954285
96950,-0.032981054
97050,-0.305209006
97150,-0.302490753
97250,-0.115912968
97350,-0.023331081
97450,0.203422792
97550,0.215979742
97650,-0.333510841
97750,-0.219178275
97850,-0.205970226
97950,-0.328871864
98050,0.0527467
98150,0.079563671
98250,0.074023785
98350,-0.044366244
98450,-0.145596364
98550,-0.325358599
98650,-0.155432321
98750,-0.179086228
98850,0.066773897
98950,0.280861787
99050,0.098393231
99150,0.171377743
99250,0.280662062
99350,0.091690658
99450,0.009947053
99550,-0.408175317
99650,0.00600397
99750,-0.199580097
99850,-0.38434072
99950,-0.338396297
100050,0.010456423
100150,-0.351045827
100250,-0.063324562
100350,-0.256433663
100450,-0.169822445
100550,-0.044924585
100650,-0.552518726
100750,-0.450871386
100850,-0.285607848
100950,-0.055240112
101050,0.106448965
101150,0.11033259
101250,0.239407082
101350,-0.612576784
101450,0.295027429
101550,0.428441464
101650,0.758358746
101750,0.48611194
101850,0.504588425
101950,0.506850161
102050,1.26094726
102150,0.750429535
102250,0.593621448
102350,0.956101895
102450,1.041985809
102550,0.720126934
102650,0.848380491
102750,0.471896196
102850,0.231350525
102950,-0.57259853
103050,-1.258170793
103150,-0.808186322
103250,-0.83897388
103350,-1.12777122
103450,-0.923783642
103550,-1.148728121
103650,-0.699354727
103750,-0.926269741
103850,-0.760209355
103950,-0.511348526
104050,-0.490311989
104150,-0.442321894
104250,0.041809159
104350,-0.397723113
104450,-0.097357129
104550,-0.021014818
104650,-0.295086066
104750,0.209440618
104850,-0.010397282
104950,-0.194549557
105050,0.391762054
105150,-0.093312745
105250,-0.383502297
105350,0.335692202
105450,1.034637108
105550,0.525349317
105650,0.669616575
105750,0.855817705
105850,0.693528485
105950,1.188448837
106050,1.125854689
106150,0.604144025
106250,0.835737101
106350,0.645823036
106450,0.778218107
106550,1.021576656
106650,0.610948196
106750,0.815621935
106850,1.000793673
106950,0.47403864
107050,-0.33056772
107150,-0.140066465
107250,-0.085193868
107350,-0.501069954
107450,-0.911508784
107550,-0.928521128
107650,-1.18839449
107750,-0.778003978
107850,-0.560106654
107950,-0.702506866
108050,-0.645658745
108150,-0.784292139
108250,-0.668290721
108350,-0.691021322
108450,-0.580122008
108550,-0.557584819
108650,-0.350759614
108750,-0.294932946
108850,-0.581266766
108950,-0.457722071
109050,-0.27224701
109150,-0.181498058
109250,-0.159721991
109350,0.115558538
109450,0.072363132
109550,-0.156443773
109650,0.161956324
109750,0.240313281
109850,-0.221779403
109950,-0.158703874
110050,-0.219939268
110150,-0.147013524
110250,-0.448190262
110350,0.154895531
110450,0.630260088
110550,0.4980714
110650,0.133025797
110750,0.305336704
110850,0.110025654
110950,0.142040238
111050,0.330186128
111150,0.526891547
111250,0.407071144
111350,0.623547246
111450,0.694094897
111550,0.572019147
111650,0.778845159
111750,1.065910486
111850,0.534725648
111950,0.412484689
112050,0.391191631
112150,0.614607479
112250,0.513081172
112350,0.161972831
112450,-0.273878182
112550,-0.303523847
112650,0.076236359
112750,-0.426948805
112850,-0.23887795
112950,-0.040389069
113050,-0.182617699
113150,-0.074272868
113250,-0.344234382
113350,-0.410115971
113450,-0.606131544
113550,0.086122621
113650,0.004924052
113750,-0.488900107
113850,-0.651293505
113950,-0.571889549
114050,-0.079907774
114150,-0.471267549
114250,-0.165873568
114350,-0.017914768
114450,0.219102837
114550,0.041719464
114650,0.311439013
114750,0.446990551
114850,-0.134346116
114950,-0.653634974
115050,-0.93069567
115150,-0.530285033
115250,-0.430000232
115350,-0.443916071
115450,-0.444126982
115550,-0.504409549
115650,-0.846114728
115750,-0.090283952
115850,0.088666856
115950,0.048752283
116050,-0.027746724
116150,0.183612613
116250,0.881971593
116350,0.391663533
116450,0.156466405
116550,-0.173870931
116650,-0.64081326
116750,0.036211566
116850,-0.305860752
116950,-0.191937471
117050,0.1602101
117150,-0.378726666
117250,0.018383571
117350,0.101947453
117450,0.706304845
117550,0.954238806
117650,1.042899503
117750,0.952823363
117850,0.65332249
117950,0.642133291
118050,1.032972172
118150,0.411427292
118250,0.543919489
118350,0.079067598
118450,0.482533259
118550,0.007818931
118650,0.109246467
118750,0.247489921
118850,0.335404005
118950,0.13589709
119050,0.43749235
119150,0.321350817
119250,-0.172508438
119350,-0.147189239
119450,-0.184503293
119550,-0.016619909
119650,-0.362524873
119750,-0.460772844
119850,-0.416034436
119950,-0.584845681
120050,-0.197059975
120150,-0.734256863
120250,-0.70630078
120350,-0.695576701
120450,-0.406327263
120550,-0.085305471
120650,-0.634361601
120750,-0.665998259
120850,-0.196566685
120950,-0.314897023
121050,0.113024513
121150,-0.221114569
121250,-0.154214711
121350,0.188240844
121450,-0.306524553
121550,-0.255149146
121650,-0.109071126
121750,0.176304876
121850,-0.084753647
121950,-0.38664182
122050,0.135502467
122150,-0.131532829
122250,0.165779174
122350,0.009356564
122450,-0.229071896
122550,0.358606767
122650,0.512346085
122750,0.563059333
122850,0.742626742
122950,0.047826841
123050,0.010775878
123150,0.038790569
123250,-0.077026517
123350,0.418901617
123450,0.178482923
123550,0.11004961
123650,0.380465653
123750,0.124930647
123850,-0.066588618
123950,0.042333445
124050,-0.034763155
124150,0.18339471
124250,0.926064502
124350,0.674256094
124450,0.491519146
124550,0.69749323
124650,0.380614308
124750,0.257747594
124850,0.074868614
124950,-0.134564855
125050,-0.075309552
125150,0.026945053
125250,-0.008312792
125350,-0.020949448
125450,0.206431289
125550,0.241565254
125650,0.134580121
125750,-0.170157552
125850,-0.538216811
125950,-0.198527992
126050,-0.494958771
126150,-0.257782623
126250,-0.593223103
126350,-0.610798686
126450,-0.082607035
126550,-0.360503465
126650,-0.76083405
126750,-0.638873291
126850,-0.634686403
126950,-0.665154302
127050,-0.527595485
127150,-0.727649957
127250,-0.873601839
127350,-0.753325392
127450,-0.954188137
127550,-0.459770807
127650,-0.593095201
127750,-0.112442667
127850,-0.076935794
127950,-0.374567273
128050,-0.306511829
128150,-0.139636393
128250,-0.015661658
128350,0.390247294
128450,0.479162697
128550,0.465781885
128650,0.228087134
128750,0.120871878
128850,0.093013626
128950,0.276665157
129050,0.107823482
129150,0.214580903
129250,0.381004762
129350,0.701849447
129450,0.814814722
129550,0.475378885
129650,0.398593485
129750,0.455800801
129850,0.463929939
129950,0.453517605
130050,0.489385321
130150,0.359110491
130250,0.649729811
130350,0.505738019
130450,0.331269054
130550,0.525248516
130650,0.578334165
130750,0.490674033
130850,0.256377622
130950,0.232361071
131050,0.363776361
131150,0.280484347
131250,0.020210587
131350,0.087454216
131450,0.172097487
131550,-0.051070254
131650,-0.139214376
131750,0.115379801
131850,0.240628424
131950,0.191660676
132050,0.4405227
132150,0.32028865
132250,0.32291226
132350,0.394473269
132450,-0.113840483
132550,-0.076789944
132650,0.129117763
132750,0.239805312
132850,0.006113901
132950,-0.037690063
133050,-0.037738316
133150,-0.08073625
133250,-0.359074842
133350,-0.499401273
133450,-0.426115394
133550,-0.330377297
133650,-0.268314695
133750,-0.756323341
133850,-1.136882023
133950,-0.959544194
134050,-0.738650393
134150,-0.477052532
134250,-0.278678545
134350,-0.194057983
134450,-0.160739517
134550,-0.201809218
134650,-0.211809185
134750,-0.173143917
134850,-0.056947953
134950,0.201786132
135050,0.279160904
135150,-0.078080022
135250,-0.398304458
135350,-0.590801841
135450,-0.625702978
135550,-0.542666562
135650,-0.439751704
135750,-0.318896612
135850,-0.23748041
135950,-0.385831115
136050,-0.571855971
136150,-0.564453603
136250,-0.530288904
136350,-0.332977583
136450,-0.015854708
136550,-0.010139843
136650,-0.118805624
136750,-0.156870689
136850,-0.172818051
136950,-0.092766115
137050,0.145855761
137150,0.23918112
137250,0.272086418
137350,0.386156361
137450,0.55480837
137550,0.626126108
137650,0.636368373
137750,0.555580082
137850,0.497804405
137950,0.562452914
138050,0.524278339
138150,0.314012063
138250,0.308937202
138350,0.400907626
138450,0.365787896
138550,0.27989253
138650,0.088004141
138750,-0.029915498
138850,-0.060416319
138950,-0.154137671
139050,-0.364049673
139150,-0.409320622
139250,-0.384578699
139350,-0.246249026
139450,-0.099102369
139550,-0.086619717
139650,-0.076226491
139750,-0.039039074
139850,-0.083153089
139950,-0.266238146
140050,-0.268550275
140150,-0.179493171
140250,-0.097017159
140350,-0.071280646
140450,-0.183216962
140550,-0.234412255
140650,-0.23163545
140750,-0.135678342
140850,-0.00186265
140950,0.001315807
141050,0.005262094
141150,0.026263274
141250,0.07070436
141350,0.170494318
141450,0.279050929
141550,0.322235625
141650,0.082838422
141750,-0.178452357
141850,-0.355203942
141950,-0.436687542
142050,-0.465547561
142150,-0.427535893
142250,-0.349702167
142350,-0.285218754
142450,-0.150004889
142550,0.289601399
142650,0.390457464
142750,0.204281622
142850,0.359168225
142950,0.585543718
143050,0.414962479
143150,0.268048236
143250,0.207109134
143350,0.242387521
143450,0.325467569
143550,0.286735725
143650,0.157703741
143750,-0.139413816
143850,-0.338517703
143950,-0.480283109
144050,-0.486072036
